Time,Value,Over Threshold
11:39:03.756513,0.002,False
11:39:03.856516,0.002,False
11:39:03.956623,0.002,False
11:39:04.056633,0.002,False
11:39:04.156561,0.002,False
11:39:04.256534,0.002,False
11:39:04.356536,0.002,False
11:39:04.456481,0.002,False
11:39:04.556494,0.002,False
11:39:04.656501,0.002,False
11:39:04.756601,0.002,False
11:39:04.856495,0.002,False
11:39:04.956516,0.002,False
11:39:05.056523,0.002,False
11:39:05.156608,0.002,False
11:39:05.256488,0.002,False
11:39:05.356498,0.002,False
11:39:05.456539,0.002,False
11:39:05.556506,0.002,False
11:39:05.656517,0.002,False
11:39:05.756518,0.002,False
11:39:05.856499,0.002,False
11:39:05.956601,0.002,False
11:39:06.056494,0.002,False
11:39:06.156484,0.002,False
11:39:06.256477,0.002,False
11:39:06.356596,0.002,False
11:39:06.456539,0.002,False
11:39:06.556469,0.002,False
11:39:06.656508,0.002,False
11:39:06.756467,0.002,False
11:39:06.856493,0.002,False
11:39:06.956470,0.002,False
11:39:07.056469,0.002,False
11:39:07.156555,0.002,False
11:39:07.256525,0.002,False
11:39:07.356558,0.002,False
11:39:07.456590,0.002,False
11:39:07.567549,0.002,False
11:39:07.656525,0.002,False
11:39:07.756491,0.002,False
11:39:07.856495,0.002,False
11:39:07.956497,0.002,False
11:39:08.056493,0.002,False
11:39:08.156519,0.002,False
11:39:08.256512,0.002,False
11:39:08.356594,0.002,False
11:39:08.456515,0.002,False
11:39:08.556533,0.002,False
11:39:08.656496,0.002,False
11:39:08.756609,0.002,False
11:39:08.856557,0.002,False
11:39:08.956588,0.002,False
11:39:09.056533,0.002,False
11:39:09.156603,0.002,False
11:39:09.256463,0.002,False
11:39:09.356501,0.002,False
11:39:09.456482,0.002,False
11:39:09.556615,0.002,False
11:39:09.656547,0.002,False
11:39:09.756497,0.002,False
11:39:09.856492,0.002,False
11:39:09.956577,0.002,False
11:39:10.056487,0.002,False
11:39:10.156470,0.002,False
11:39:10.256510,0.002,False
11:39:10.356546,0.002,False
11:39:10.456475,0.002,False
11:39:10.556494,0.002,False
11:39:10.656485,0.002,False
11:39:10.756579,0.002,False
11:39:10.856494,0.002,False
11:39:10.956459,0.002,False
11:39:11.056452,0.002,False
11:39:11.156562,0.002,False
11:39:11.256518,0.002,False
11:39:11.356507,0.002,False
11:39:11.456508,0.002,False
11:39:11.556553,0.002,False
11:39:11.656485,0.002,False
11:39:11.767925,0.002,False
11:39:11.856534,0.002,False
11:39:11.956638,0.002,False
11:39:12.056512,0.002,False
11:39:12.156520,0.002,False
11:39:12.256517,0.002,False
11:39:12.356624,0.002,False
11:39:12.456531,0.002,False
11:39:12.556536,0.002,False
11:39:12.656530,0.002,False
11:39:12.756538,0.002,False
11:39:12.856520,0.002,False
11:39:12.956537,0.002,False
11:39:13.056566,0.002,False
11:39:13.156631,0.002,False
11:39:13.256536,0.002,False
11:39:13.356545,0.002,False
11:39:13.456521,0.002,False
11:39:13.556629,0.002,False
11:39:13.656527,0.002,False
11:39:13.756525,0.002,False
11:39:13.856559,0.002,False
11:39:13.956542,0.002,False
11:39:14.056555,0.002,False
11:39:14.156571,0.002,False
11:39:14.256620,0.002,False
11:39:14.356650,0.002,False
11:39:14.456543,0.002,False
11:39:14.556517,0.002,False
11:39:14.656552,0.002,False
11:39:14.756624,0.002,False
11:39:14.856569,0.002,False
11:39:14.956588,0.002,False
11:39:15.056580,0.002,False
11:39:15.156572,0.002,False
11:39:15.256563,0.002,False
11:39:15.356582,0.002,False
11:39:15.456574,0.002,False
11:39:15.556683,0.002,False
11:39:15.656574,0.002,False
11:39:15.756576,0.002,False
11:39:15.856582,0.002,False
11:39:15.968155,0.002,False
11:39:16.056514,0.002,False
11:39:16.156542,0.002,False
11:39:16.256493,0.002,False
11:39:16.356501,0.002,False
11:39:16.456516,0.002,False
11:39:16.556555,0.002,False
11:39:16.656531,0.002,False
11:39:16.756667,0.002,False
11:39:16.856547,0.002,False
11:39:16.956529,0.002,False
11:39:17.056521,0.002,False
11:39:17.156644,0.002,False
11:39:17.256562,0.002,False
11:39:17.356550,0.002,False
11:39:17.456519,0.002,False
11:39:17.556547,0.002,False
11:39:17.656537,0.002,False
11:39:17.756536,0.002,False
11:39:17.856551,0.002,False
11:39:17.956702,0.002,False
11:39:18.056514,0.002,False
11:39:18.156538,0.002,False
11:39:18.256534,0.002,False
11:39:18.356656,0.002,False
11:39:18.456575,0.002,False
11:39:18.556544,0.002,False
11:39:18.656519,0.002,False
11:39:18.756550,0.002,False
11:39:18.856529,0.002,False
11:39:18.956503,0.002,False
11:39:19.056550,0.002,False
11:39:19.156647,0.002,False
11:39:19.256514,0.002,False
11:39:19.356586,0.002,False
11:39:19.456499,0.002,False
11:39:19.556641,0.002,False
11:39:19.656527,0.002,False
11:39:19.756561,0.002,False
11:39:19.856521,0.002,False
11:39:19.956505,0.002,False
11:39:20.056530,0.002,False
11:39:20.156566,0.002,False
11:39:20.268264,0.002,False
11:39:20.356647,0.002,False
11:39:20.456524,0.002,False
11:39:20.556527,0.002,False
11:39:20.656523,0.002,False
11:39:20.756687,0.002,False
11:39:20.856549,0.002,False
11:39:20.956540,0.002,False
11:39:21.056593,0.002,False
11:39:21.156534,0.002,False
11:39:21.256575,0.002,False
11:39:21.356546,0.002,False
11:39:21.456542,0.002,False
11:39:21.556654,0.002,False
11:39:21.656546,0.002,False
11:39:21.756540,0.002,False
11:39:21.856539,0.002,False
11:39:21.956651,0.002,False
11:39:22.056527,0.002,False
11:39:22.156576,0.002,False
11:39:22.256515,0.002,False
11:39:22.356537,0.002,False
11:39:22.456512,0.002,False
11:39:22.556517,0.002,False
11:39:22.656506,0.002,False
11:39:22.756668,0.002,False
11:39:22.856522,0.002,False
11:39:22.956543,0.002,False
11:39:23.056510,0.002,False
11:39:23.156648,0.002,False
11:39:23.256525,0.002,False
11:39:23.356519,0.002,False
11:39:23.456519,0.002,False
11:39:23.556534,0.002,False
11:39:23.656564,0.002,False
11:39:23.756551,0.002,False
11:39:23.856495,0.002,False
